"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","1979",64.38335,
"AUS","EMP","TOT","PC_WKGPOP","A","1980",65.17445,
"AUS","EMP","TOT","PC_WKGPOP","A","1981",65.36742,
"AUS","EMP","TOT","PC_WKGPOP","A","1982",64.16441,
"AUS","EMP","TOT","PC_WKGPOP","A","1983",61.94022,
"AUS","EMP","TOT","PC_WKGPOP","A","1984",62.82397,
"AUS","EMP","TOT","PC_WKGPOP","A","1985",63.7218,
"AUS","EMP","TOT","PC_WKGPOP","A","1986",65.14481,
"AUS","EMP","TOT","PC_WKGPOP","A","1987",65.30288,
"AUS","EMP","TOT","PC_WKGPOP","A","1988",66.48173,
"AUS","EMP","TOT","PC_WKGPOP","A","1989",68.19857,
"AUS","EMP","TOT","PC_WKGPOP","A","1990",68.37136,
"AUS","EMP","TOT","PC_WKGPOP","A","1991",65.9215,
"AUS","EMP","TOT","PC_WKGPOP","A","1992",64.93269,
"AUS","EMP","TOT","PC_WKGPOP","A","1993",64.61858,
"AUS","EMP","TOT","PC_WKGPOP","A","1994",66.00251,
"AUS","EMP","TOT","PC_WKGPOP","A","1995",67.62838,
"AUS","EMP","TOT","PC_WKGPOP","A","1996",67.66373,
"AUS","EMP","TOT","PC_WKGPOP","A","1997",67.36479,
"AUS","EMP","TOT","PC_WKGPOP","A","1998",67.80048,
"AUS","EMP","TOT","PC_WKGPOP","A","1999",68.23203,
"AUS","EMP","TOT","PC_WKGPOP","A","2000",69.09614,
"AUS","EMP","TOT","PC_WKGPOP","A","2001",69.00098,
"AUS","EMP","TOT","PC_WKGPOP","A","2002",69.35914,
"AUS","EMP","TOT","PC_WKGPOP","A","2003",70.01125,
"AUS","EMP","TOT","PC_WKGPOP","A","2004",70.29926,
"AUS","EMP","TOT","PC_WKGPOP","A","2005",71.54403,
"AUS","EMP","TOT","PC_WKGPOP","A","2006",72.12262,
"AUS","EMP","TOT","PC_WKGPOP","A","2007",72.80006,
"AUS","EMP","TOT","PC_WKGPOP","A","2008",73.20431,
"AUS","EMP","TOT","PC_WKGPOP","A","2009",72.05107,
"AUS","EMP","TOT","PC_WKGPOP","A","2010",72.37024,
"AUS","EMP","TOT","PC_WKGPOP","A","2011",72.65694,
"AUS","EMP","TOT","PC_WKGPOP","A","2012",72.34558,
"AUS","EMP","TOT","PC_WKGPOP","A","2013",71.97044,
"AUS","EMP","TOT","PC_WKGPOP","A","2014",71.56635,
"AUS","EMP","TOT","PC_WKGPOP","A","2015",72.15796,
"AUS","EMP","TOT","PC_WKGPOP","A","2016",72.4315,
"AUS","EMP","TOT","PC_WKGPOP","A","2017",72.98936,
"AUS","EMP","TOT","PC_WKGPOP","A","2018",73.76588,
"AUS","EMP","TOT","PC_WKGPOP","A","2019",74.32264,
"AUS","EMP","TOT","PC_WKGPOP","A","2020",72.70296,
"AUS","EMP","TOT","PC_WKGPOP","A","2021",74.97159,
"AUT","EMP","TOT","PC_WKGPOP","A","1999",68.525,
"AUT","EMP","TOT","PC_WKGPOP","A","2000",68.5,
"AUT","EMP","TOT","PC_WKGPOP","A","2001",68.375,
"AUT","EMP","TOT","PC_WKGPOP","A","2002",68.75,
"AUT","EMP","TOT","PC_WKGPOP","A","2003",68.95,"B"
