Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels (TWh, substituted energy)","Solar (TWh, substituted energy)","Wind (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil (TWh, substituted energy)","Coal (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)"
World,OWID_WRL,1800,0,0,0,0,0,0,0,0,97,5556
World,OWID_WRL,1810,0,0,0,0,0,0,0,0,128,5833
World,OWID_WRL,1820,0,0,0,0,0,0,0,0,153,6111
World,OWID_WRL,1830,0,0,0,0,0,0,0,0,264,6389
World,OWID_WRL,1840,0,0,0,0,0,0,0,0,356,6944
World,OWID_WRL,1850,0,0,0,0,0,0,0,0,569,7222
World,OWID_WRL,1860,0,0,0,0,0,0,0,0,1061,6944
World,OWID_WRL,1870,0,0,0,0,0,0,0,6,1642,6944
World,OWID_WRL,1880,0,0,0,0,0,0,0,33,2542,6944
World,OWID_WRL,1890,0,0,0,0,38.88889,0,33,89,3856,6667
World,OWID_WRL,1900,0,0,0,0,47.22222,0,64,181,5728,6111
World,OWID_WRL,1910,0,0,0,0,91.666664,0,142,397,8656,6389
World,OWID_WRL,1920,0,0,0,0,177.77777,0,233,889,9833,6944
World,OWID_WRL,1930,0,0,0,0,363.8889,0,603,1756,10125,7222
World,OWID_WRL,1940,0,0,0,0,533.3333,0,875,2653,11586,7222
World,OWID_WRL,1950,0,0,0,0,925,0,2092,5444,12603,7500
World,OWID_WRL,1960,0,0,0,0,1913.8889,0,4472,11097,15442,8889
World,OWID_WRL,1965,55.949085,9.029861,0,0,2729.8865,72.469345,6303.799,17989.604,16140.179,9162
World,OWID_WRL,1966,61.737606,9.209844,0,0,2909.136,97.70497,6868.7944,19341.146,16324.094,9218
World,OWID_WRL,1967,62.353374,9.383716,0,0,2973.9692,116.35518,7374.0396,20732.137,16060.81,9274
World,OWID_WRL,1968,69.03191,9.5538,0,0,3132.3052,147.87189,8044.3315,22488.332,16301.146,9331
World,OWID_WRL,1969,72.558716,9.723981,0,0,3316.9805,175.31134,8833.418,24353,16798.736,9387
World,OWID_WRL,1970,80.337944,11.0390625,0,0,3473.4265,223.80801,9614.792,26505.184,17058.607,9444
World,OWID_WRL,1971,87.339066,11.649558,0,0,3628.942,311.28723,10293.2,27994.797,16965.777,9499
World,OWID_WRL,1972,93.40202,12.946933,0,0,3798.634,431.79926,10861.724,30112.264,17158.637,9553
World,OWID_WRL,1973,100.24631,12.586639,0,0,3852.995,578.5737,11377.838,32534.807,17667.85,9608
World,OWID_WRL,1974,106.87296,12.167814,0,0,4232.1367,756.48175,11659.865,32078.18,17682.05,9663
World,OWID_WRL,1975,108.1472,11.48028,0,0,4284.3325,1049.4497,11659.741,31715.77,18024.537,9718
World,OWID_WRL,1976,120.57106,11.869931,0,0,4267.3394,1227.7115,12354.144,33752.465,18688.484,9774
World,OWID_WRL,1977,127.26663,15.856679,0,0,4410.859,1528.1375,12759.843,34928.137,19241.3,9830
World,OWID_WRL,1978,135.02682,20.971792,0,0.008861111,4773.711,1775.7009,13293.952,36509.918,19457.904,9886
World,OWID_WRL,1979,144.51552,26.000826,0,0.017749999,5012.647,1846.8246,14118.032,37064.566,20363.54,9943
World,OWID_WRL,1980,153.78857,29.858547,0,0.031048333,5120.4688,2020.0956,14236.961,35514.42,20857.61,10000
