Entity,Code,Year,Renewables (% equivalent primary energy)
Africa,,1965,5.747494697570801
Africa,,1966,6.122061729431152
Africa,,1967,6.325730800628662
Africa,,1968,7.005292892456055
Africa,,1969,7.956087589263916
Africa,,1970,9.16205883026123
Africa,,1971,8.131307601928711
Africa,,1972,8.747766494750977
Africa,,1973,8.542280197143555
Africa,,1974,9.268067359924316
Africa,,1975,9.238402366638184
Africa,,1976,9.416414260864258
Africa,,1977,9.803298950195312
Africa,,1978,9.519680976867676
Africa,,1979,9.35092830657959
Africa,,1980,8.48603630065918
Africa,,1981,7.859501838684082
Africa,,1982,7.378184795379639
Africa,,1983,6.456583023071289
Africa,,1984,6.159393310546875
Africa,,1985,6.580027103424072
Africa,,1986,6.70380973815918
Africa,,1987,6.234672546386719
Africa,,1988,6.350836277008057
Africa,,1989,6.648681163787842
Africa,,1990,6.568428039550781
Africa,,1991,6.96174430847168
Africa,,1992,6.552484035491943
Africa,,1993,6.4210205078125
Africa,,1994,6.290523529052734
Africa,,1995,6.283753395080566
Africa,,1996,6.411200523376465
Africa,,1997,6.448849201202393
Africa,,1998,6.6571831703186035
Africa,,1999,6.836302757263184
Africa,,2000,7.174940586090088
Africa,,2001,7.414130687713623
Africa,,2002,7.605161666870117
Africa,,2003,7.0411763191223145
Africa,,2004,6.93337345123291
Africa,,2005,6.998331069946289
Africa,,2006,7.123232841491699
Africa,,2007,7.009408473968506
Africa,,2008,6.716137886047363
Africa,,2009,6.775711536407471
Africa,,2010,7.101892471313477
Africa,,2011,7.22559928894043
Africa,,2012,6.989345550537109
Africa,,2013,7.195614337921143
Africa,,2014,7.509692192077637
Africa,,2015,7.464454174041748
Africa,,2016,7.307821273803711
Africa,,2017,7.739742279052734
Africa,,2018,8.169642448425293
Africa,,2019,8.559300422668457
Africa,,2020,9.624268531799316
Africa,,2021,9.555875778198242
Africa (BP),,1965,5.747495651245117
Africa (BP),,1966,6.1220622062683105
Africa (BP),,1967,6.325730800628662
Africa (BP),,1968,7.005292892456055
Africa (BP),,1969,7.956087589263916
Africa (BP),,1970,9.16205883026123
Africa (BP),,1971,8.131307601928711
Africa (BP),,1972,8.747766494750977
Africa (BP),,1973,8.542280197143555
Africa (BP),,1974,9.268067359924316
Africa (BP),,1975,9.238402366638184
Africa (BP),,1976,9.416413307189941
Africa (BP),,1977,9.803298950195312
Africa (BP),,1978,9.519680976867676
Africa (BP),,1979,9.35092830657959
Africa (BP),,1980,8.486035346984863
Africa (BP),,1981,7.859501838684082
Africa (BP),,1982,7.378184795379639
Africa (BP),,1983,6.456583023071289
Africa (BP),,1984,6.159393310546875
Africa (BP),,1985,6.580027103424072
Africa (BP),,1986,6.703810214996338
Africa (BP),,1987,6.234672546386719
Africa (BP),,1988,6.350836277008057
Africa (BP),,1989,6.648681163787842
Africa (BP),,1990,6.568428039550781
Africa (BP),,1991,6.96174430847168
Africa (BP),,1992,6.552484035491943
Africa (BP),,1993,6.4210205078125
Africa (BP),,1994,6.290523529052734
Africa (BP),,1995,6.283753395080566
Africa (BP),,1996,6.411200523376465
Africa (BP),,1997,6.448850154876709
Africa (BP),,1998,6.6571831703186035
Africa (BP),,1999,6.836302757263184
Africa (BP),,2000,7.174940586090088
Africa (BP),,2001,7.414130210876465
Africa (BP),,2002,7.619705677032471
Africa (BP),,2003,7.05647611618042
Africa (BP),,2004,6.950178146362305
Africa (BP),,2005,7.004724979400635
Africa (BP),,2006,7.12509822845459
Africa (BP),,2007,7.0290913581848145
Africa (BP),,2008,6.73045015335083
Africa (BP),,2009,6.783567428588867
Africa (BP),,2010,7.106614112854004
Africa (BP),,2011,7.236809253692627
Africa (BP),,2012,7.002328395843506
Africa (BP),,2013,7.207865238189697
Africa (BP),,2014,7.5212082862854
Africa (BP),,2015,7.478593349456787
Africa (BP),,2016,7.320139408111572
Africa (BP),,2017,7.7515692710876465
Africa (BP),,2018,8.187627792358398
Africa (BP),,2019,8.574492454528809
Africa (BP),,2020,9.644046783447266
Africa (BP),,2021,9.57497787475586
Algeria,DZA,1965,4.763067722320557
Algeria,DZA,1966,3.518747091293335
Algeria,DZA,1967,4.2919535636901855
Algeria,DZA,1968,5.486194610595703
Algeria,DZA,1969,3.1827635765075684
Algeria,DZA,1970,4.665683746337891
Algeria,DZA,1971,2.455918788909912
Algeria,DZA,1972,3.278343439102173
Algeria,DZA,1973,4.175826072692871
Algeria,DZA,1974,2.4947381019592285
Algeria,DZA,1975,1.378281831741333
Algeria,DZA,1976,1.4010223150253296
Algeria,DZA,1977,0.8817282319068909
Algeria,DZA,1978,0.6521151065826416
Algeria,DZA,1979,0.5792936086654663
Algeria,DZA,1980,0.4290015995502472
Algeria,DZA,1981,0.50294029712677
Algeria,DZA,1982,0.570870041847229
Algeria,DZA,1983,0.25644946098327637
Algeria,DZA,1984,0.5136735439300537
Algeria,DZA,1985,0.7282653450965881
Algeria,DZA,1986,0.26640447974205017
Algeria,DZA,1987,0.5174273252487183
Algeria,DZA,1988,0.17717435956001282
Algeria,DZA,1989,0.22495822608470917
Algeria,DZA,1990,0.12673869729042053
Algeria,DZA,1991,0.2776069939136505
Algeria,DZA,1992,0.1837574690580368
Algeria,DZA,1993,0.35028013586997986
Algeria,DZA,1994,0.1625789850950241
Algeria,DZA,1995,0.182247593998909
Algeria,DZA,1996,0.12880340218544006
Algeria,DZA,1997,0.07445590198040009
Algeria,DZA,1998,0.20617961883544922
Algeria,DZA,1999,0.1927434206008911
Algeria,DZA,2000,0.053235482424497604
Algeria,DZA,2001,0.065218485891819
Algeria,DZA,2002,0.05167676880955696
Algeria,DZA,2003,0.22810399532318115
Algeria,DZA,2004,0.2067869007587433
Algeria,DZA,2005,0.43411877751350403
Algeria,DZA,2006,0.1632719486951828
Algeria,DZA,2007,0.1599045693874359
Algeria,DZA,2008,0.1877543032169342
Algeria,DZA,2009,0.2127854824066162
Algeria,DZA,2010,0.11513237655162811
Algeria,DZA,2011,0.23525990545749664
Algeria,DZA,2012,0.22453194856643677
Algeria,DZA,2013,0.06476319581270218
Algeria,DZA,2014,0.11750246584415436
Algeria,DZA,2015,0.09681336581707001
Algeria,DZA,2016,0.14580711722373962
Algeria,DZA,2017,0.24701829254627228
Algeria,DZA,2018,0.2876792848110199
Algeria,DZA,2019,0.2947469651699066
Algeria,DZA,2020,0.29789942502975464
Algeria,DZA,2021,0.2613673508167267
Argentina,ARG,1965,1.1027235984802246
Argentina,ARG,1966,1.0818976163864136
Argentina,ARG,1967,1.0765652656555176
Argentina,ARG,1968,1.2273393869400024
Argentina,ARG,1969,1.0651699304580688
Argentina,ARG,1970,1.3534115552902222
Argentina,ARG,1971,1.2703214883804321
Argentina,ARG,1972,1.2349965572357178
Argentina,ARG,1973,2.2836952209472656
Argentina,ARG,1974,3.6298017501831055
Argentina,ARG,1975,3.8622028827667236
Argentina,ARG,1976,3.5544235706329346
Argentina,ARG,1977,3.9092395305633545
Argentina,ARG,1978,5.227678298950195
Argentina,ARG,1979,6.702306270599365
Argentina,ARG,1980,9.55285930633545
Argentina,ARG,1981,9.54153060913086
Argentina,ARG,1982,11.22947883605957
Argentina,ARG,1983,11.303474426269531
Argentina,ARG,1984,12.132671356201172
Argentina,ARG,1985,12.75955581665039
Argentina,ARG,1986,12.2985258102417
Argentina,ARG,1987,12.247486114501953
Argentina,ARG,1988,8.417366981506348
Argentina,ARG,1989,7.543593406677246
Argentina,ARG,1990,10.292678833007812
Argentina,ARG,1991,9.081443786621094
Argentina,ARG,1992,10.206743240356445
Argentina,ARG,1993,12.216532707214355
Argentina,ARG,1994,13.306406021118164
Argentina,ARG,1995,12.535518646240234
Argentina,ARG,1996,10.225037574768066
Argentina,ARG,1997,12.514141082763672
Argentina,ARG,1998,11.482151985168457
Argentina,ARG,1999,9.226556777954102
Argentina,ARG,2000,12.283858299255371
Argentina,ARG,2001,15.937487602233887
Argentina,ARG,2002,16.249305725097656
Argentina,ARG,2003,14.408259391784668
Argentina,ARG,2004,12.185575485229492
Argentina,ARG,2005,12.78852367401123
Argentina,ARG,2006,13.449461936950684
Argentina,ARG,2007,10.599154472351074
Argentina,ARG,2008,10.437064170837402
Argentina,ARG,2009,11.783506393432617
Argentina,ARG,2010,11.661375045776367
Argentina,ARG,2011,10.929448127746582
Argentina,ARG,2012,10.216425895690918
Argentina,ARG,2013,10.950078964233398
Argentina,ARG,2014,11.03897762298584
Argentina,ARG,2015,10.907397270202637
Argentina,ARG,2016,10.167007446289062
Argentina,ARG,2017,10.96471881866455
Argentina,ARG,2018,11.397629737854004
Argentina,ARG,2019,11.926772117614746
Argentina,ARG,2020,12.17941665649414
Argentina,ARG,2021,11.329249382019043
Asia,,1965,7.898136138916016
Asia,,1966,7.591160297393799
Asia,,1967,6.774782180786133
Asia,,1968,6.976727485656738
Asia,,1969,6.371641159057617
Asia,,1970,5.764333248138428
Asia,,1971,5.742181301116943
Asia,,1972,5.588597297668457
Asia,,1973,4.7971978187561035
Asia,,1974,5.339972496032715
Asia,,1975,5.550854206085205
