year,mean_gdp
1965,91313228957.1302
1966,101602460277.0550
1967,104852950887.1370
1968,109979326836.3090
1969,121620738798.5610
1970,131666235796.5510
1971,142629774767.8260
1972,164287421464.7520
1973,202716339693.6380
1974,235828293720.9120
1975,260238930364.8020
1976,280045258562.4140
1977,311122166942.6710
1978,364622654798.3170
1979,424410942395.0560
1980,453626314548.9510
1981,463787654774.2540
1982,454864712573.8910
1983,454643350243.3690
1984,464292734965.3350
1985,480209781873.9760
1986,556063904891.7660
1987,616339493702.1040
1988,678611242068.1250
1989,706809528098.2450
1990,752024652295.0100
1991,775167502741.9610
1992,822748826688.7420
1993,827346936633.3800
1994,884530809084.6450
1995,952789963613.1740
1996,981783184955.9440
1997,980686519625.4190
1998,969822356452.1800
1999,992571841746.9560
2000,1009219192822.0300
2001,1002342950893.1300
2002,1021914263215.2600
2003,1153148292042.3900
2004,1311056108198.8500
2005,1436416442011.3100
2006,1571317771287.5600
2007,1800626837967.1800
2008,2004004600003.6000
2009,1902427187372.4700
2010,2104083552077.1000
2011,2329971727184.0700
2012,2409843814137.9600
2013,2486600384964.0400
2014,2547071594368.0000
2015,2399579638165.0200
2016,2444095746189.8700
2017,2619181231740.2500
2018,2780138718566.2600
2019,2844701893700.2400
2020,2794879396572.0600
2021,3488194615687.8300
