Macrotrends Data Download

World Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,2499322157
1951-12-31,2543130380,1.75
1952-12-31,2590270899,1.85
1953-12-31,2640278797,1.93
1954-12-31,2691979339,1.96
1955-12-31,2746072141,2.01
1956-12-31,2801002631,2
1957-12-31,2857866857,2.03
1958-12-31,2916108097,2.04
1959-12-31,2970292188,1.86
1960-12-31,3019233434,1.65
1961-12-31,3068370609,1.63
1962-12-31,3126686743,1.9
1963-12-31,3195779247,2.21
1964-12-31,3267212338,2.24
1965-12-31,3337111983,2.14
1966-12-31,3406417036,2.08
1967-12-31,3475448166,2.03
1968-12-31,3546810808,2.05
1969-12-31,3620655275,2.08
1970-12-31,3695390336,2.06
1971-12-31,3770163092,2.02
1972-12-31,3844800885,1.98
1973-12-31,3920251504,1.96
1974-12-31,3995517077,1.92
1975-12-31,4069437231,1.85
1976-12-31,4142505882,1.8
1977-12-31,4215772490,1.77
1978-12-31,4289657708,1.75
1979-12-31,4365582871,1.77
1980-12-31,4444007706,1.8
1981-12-31,4524627658,1.81
1982-12-31,4607984871,1.84
1983-12-31,4691884238,1.82
1984-12-31,4775836074,1.79
1985-12-31,4861730613,1.8
1986-12-31,4950063339,1.82
1987-12-31,5040984495,1.84
1988-12-31,5132293974,1.81
1989-12-31,5223704308,1.78
1990-12-31,5316175862,1.77
1991-12-31,5406245867,1.69
1992-12-31,5492686093,1.6
1993-12-31,5577433523,1.54
1994-12-31,5660727993,1.49
1995-12-31,5743219454,1.46
1996-12-31,5825145298,1.43
1997-12-31,5906481261,1.4
1998-12-31,5987312480,1.37
1999-12-31,6067758458,1.34
2000-12-31,6148898975,1.34
2001-12-31,6230746982,1.33
2002-12-31,6312407360,1.31
2003-12-31,6393898365,1.29
2004-12-31,6475751478,1.28
2005-12-31,6558176119,1.27
2006-12-31,6641416218,1.27
2007-12-31,6725948544,1.27
2008-12-31,6811597272,1.27
2009-12-31,6898305908,1.27
2010-12-31,6985603105,1.27
2011-12-31,7073125425,1.25
2012-12-31,7161697921,1.25
2013-12-31,7250593370,1.24
2014-12-31,7339013419,1.22
2015-12-31,7426597537,1.19
2016-12-31,7513474238,1.17
2017-12-31,7599822404,1.15
2018-12-31,7683789828,1.1
2019-12-31,7764951032,1.06
2020-12-31,7840952880,0.98
2021-12-31,7909295151,0.87
2022-12-31,7975105156,0.83
2023-12-31,8045311447,0.88
2024-12-31,8118835999,0.91
2025-12-31,8191988453,0.9
2026-12-31,8264364509,0.88
2027-12-31,8335977671,0.87
2028-12-31,8406828792,0.85
2029-12-31,8476889391,0.83
2030-12-31,8546141327,0.82
2031-12-31,8614532745,0.8
2032-12-31,8682091984,0.78
2033-12-31,8748798542,0.77
2034-12-31,8814575171,0.75
2035-12-31,8879397401,0.74
2036-12-31,8943206702,0.72
2037-12-31,9006026370,0.7
2038-12-31,9067889026,0.69
2039-12-31,9128661215,0.67
2040-12-31,9188250492,0.65
2041-12-31,9246673300,0.64
2042-12-31,9303896851,0.62
2043-12-31,9359836420,0.6
2044-12-31,9414408423,0.58
2045-12-31,9467543575,0.56
2046-12-31,9519190804,0.55
2047-12-31,9569297886,0.53
2048-12-31,9617774470,0.51
2049-12-31,9664516146,0.49
2050-12-31,9709491761,0.47
2051-12-31,9752656916,0.44
2052-12-31,9794102043,0.42
2053-12-31,9833861191,0.41
2054-12-31,9871900602,0.39
2055-12-31,9908304869,0.37
2056-12-31,9943123262,0.35
2057-12-31,9976440150,0.34
2058-12-31,10008310110,0.32
2059-12-31,10038705860,0.3
2060-12-31,10067733610,0.29
2061-12-31,10095573060,0.28
2062-12-31,10122307680,0.26
2063-12-31,10147949120,0.25
2064-12-31,10172513780,0.24
2065-12-31,10195964900,0.23
2066-12-31,10218273020,0.22
2067-12-31,10239583780,0.21
2068-12-31,10259872990,0.2
2069-12-31,10279074870,0.19
2070-12-31,10297166710,0.18
2071-12-31,10314142300,0.16
2072-12-31,10330059850,0.15
2073-12-31,10344891490,0.14
2074-12-31,10358552760,0.13
2075-12-31,10370994200,0.12
2076-12-31,10382180400,0.11
2077-12-31,10392082000,0.1
2078-12-31,10400749750,0.08
2079-12-31,10408266920,0.07
2080-12-31,10414637190,0.06
2081-12-31,10419851490,0.05
2082-12-31,10424022900,0.04
2083-12-31,10427226400,0.03
2084-12-31,10429447400,0.02
2085-12-31,10430679100,0.01
2086-12-31,10430926280,0
2087-12-31,10430267620,-0.01
2088-12-31,10428830630,-0.01
2089-12-31,10426601150,-0.02
2090-12-31,10423541040,-0.03
2091-12-31,10419647130,-0.04
2092-12-31,10414959830,-0.04
2093-12-31,10409491090,-0.05
2094-12-31,10403272150,-0.06
2095-12-31,10396305840,-0.07
2096-12-31,10388517150,-0.07
2097-12-31,10379888450,-0.08
2098-12-31,10370445200,-0.09
2099-12-31,10360269360,-0.1
2100-12-31,10349323040,-0.11
