date,temp_no_smoothing,temp_lowess_5,oil_consum_kWh,co2,population,gdp,renewables,Value
1880-12-31,-0.18,-0.1,,3852.2969999999996,3413327016.0,1064213413082.5,,
1881-12-31,-0.09,-0.14,,3973.041,3437917078.0,1099377306552.7,,
1882-12-31,-0.11,-0.17,,4167.643,3463804081.0,1139680732792.0,,
1883-12-31,-0.17,-0.2,,4423.438,3491273487.0,1167344763079.6,,
1884-12-31,-0.28,-0.24,,4449.086,3687611163.0,1414375338446.5,,
1885-12-31,-0.33,-0.26,,4476.89,3724825581.0,1496189977369.5,,
1886-12-31,-0.31,-0.27,,4523.773,3754893010.0,1517499648289.6,,
1887-12-31,-0.36,-0.27,,4734.717000000001,3788438443.0,1572897865503.6,,
1888-12-31,-0.17,-0.26,,5173.71,3819382645.0,1593921085621.4,,
1889-12-31,-0.1,-0.25,,5245.849,3882904394.0,1681080065302.0,,
1890-12-31,-0.35,-0.25,,5643.908,3917392385.0,1805519655522.1,,
1891-12-31,-0.22,-0.25,,5889.893,3955066069.0,1716748586166.6,,
1892-12-31,-0.27,-0.26,,5896.782,3994538358.0,1795068739441.8,,
1893-12-31,-0.31,-0.26,,5801.458,4022125742.0,1793364516713.5,,
1894-12-31,-0.3,-0.23,,6090.709,4050095753.0,1828623713391.1,,
1895-12-31,-0.22,-0.22,,6394.880999999999,4081417070.0,1927694045623.2,,
1896-12-31,-0.11,-0.2,,6629.614,4112741514.0,1930319864626.9,,
1897-12-31,-0.1,-0.18,,6948.567,4141849680.0,2039664655218.2,,
1898-12-31,-0.27,-0.16,,7285.625,4171303298.0,2114767761038.5,,
1899-12-31,-0.17,-0.17,,7901.0199999999995,4602093762.0,2177805979286.3,,
1900-12-31,-0.08,-0.19,,8322.749,4640899886.0,6133465567093.189,,
1901-12-31,-0.15,-0.23,,8503.959,4693153617.0,2347696683998.7,,
1902-12-31,-0.27,-0.25,,8661.382,4732751654.0,2391973940208.0,,
1903-12-31,-0.36,-0.28,,9329.175,4775445666.0,2471921188578.0,,
1904-12-31,-0.46,-0.3,,9463.535,4820360749.0,2497973440265.8,,
1905-12-31,-0.26,-0.33,,9984.272,4877742368.0,2582473998854.3,,
1906-12-31,-0.22,-0.35,,10441.447,4931878505.0,2741160489742.7,,
1907-12-31,-0.38,-0.37,,11747.368,4983347061.0,2795103901354.3,,
1908-12-31,-0.42,-0.39,,11474.39,5028089599.0,2732041544915.2,,
1909-12-31,-0.48,-0.4,,11810.028,5071304829.0,2910402851819.3,,
1910-12-31,-0.43,-0.41,,12279.281,5116298909.0,3060987273501.8,,
1911-12-31,-0.44,-0.39,,12533.959,5162367252.0,3439840214886.7,,
1912-12-31,-0.36,-0.35,,13101.69,5199743672.0,3146476722724.7,,
1913-12-31,-0.34,-0.32,,14186.360999999999,5235219697.0,3866917584078.5,,
1914-12-31,-0.15,-0.31,,12817.501,5271233834.0,3057537355055.1,,
1915-12-31,-0.14,-0.3,,12516.025,5329763564.0,3077528459189.4,,
1916-12-31,-0.36,-0.29,,13423.388,5374474072.0,3282300377154.9,,
1917-12-31,-0.46,-0.29,,13858.024,5413343225.0,3209378974778.2,,
1918-12-31,-0.29,-0.3,,13439.947,5450787656.0,3202004087644.5,,
1919-12-31,-0.28,-0.29,,11633.05,5490675969.0,3195037932179.2,,
1920-12-31,-0.27,-0.27,,13532.563,5547367128.0,7628947172193.53,,
1921-12-31,-0.18,-0.26,,12002.141,5592699364.0,3244463979318.0,,
1922-12-31,-0.28,-0.25,,12735.812,5639903951.0,3458365898207.4,,
1923-12-31,-0.26,-0.24,,13936.205,5689213685.0,3614959682602.5,,
1924-12-31,-0.27,-0.23,,14371.687,5739268431.0,3832982988379.4,,
1925-12-31,-0.22,-0.22,,14456.596,5790098691.0,3972095695767.6,,
1926-12-31,-0.11,-0.22,,13820.678,5841637637.0,4102032135211.2,,
1927-12-31,-0.22,-0.21,,15561.627,5901881898.0,4210719207177.0,,
1928-12-31,-0.2,-0.2,,15526.099,5977077859.0,4345063814133.0,,
1929-12-31,-0.36,-0.19,,16702.61,6032329283.0,5103062460959.9,,
1930-12-31,-0.15,-0.19,,15500.572,6096849321.0,4904437228402.7,,
1931-12-31,-0.09,-0.18,,13987.32,6166001519.0,4721535888684.1,,
1932-12-31,-0.16,-0.18,,12720.185,6229386090.0,4486515438304.7,,
1933-12-31,-0.28,-0.17,,13333.057,6297115247.0,4495432016679.7,,
1934-12-31,-0.12,-0.16,,14534.962,6361407514.0,4694446971561.4,,
1935-12-31,-0.2,-0.14,,15257.737000000001,6426496222.0,4968276589214.4,,
1936-12-31,-0.15,-0.11,,16634.796,6495429949.0,5267668555744.9,,
1937-12-31,-0.03,-0.06,,17853.781,6562501285.0,5499253227984.0,,
1938-12-31,0.0,-0.01,,17088.202,6632055952.0,5535891279256.9,,
1939-12-31,-0.02,0.03,,17934.194,6698136478.0,5164135116581.3,,
1940-12-31,0.13,0.06,,19486.457,6766983735.0,12297957276342.01,,
1941-12-31,0.19,0.09,,19636.245,6842036648.0,5575509316990.5,,
1942-12-31,0.07,0.11,,19244.228,6896125025.0,5643097536313.2,,
1943-12-31,0.09,0.1,,19534.25,6947422691.0,5805823446877.9,,
1944-12-31,0.2,0.08,,19565.112,6997693298.0,5885837698889.6,,
1945-12-31,0.09,0.04,,15594.47,7047737353.0,5478689845736.801,,
1946-12-31,-0.07,0.01,,17627.177,7168384025.0,5193710013074.6,,
1947-12-31,-0.02,-0.03,,19688.57,7224788204.0,5252118807890.2,,
1948-12-31,-0.1,-0.07,,20822.382,7284693147.0,5673986813659.0,,
1949-12-31,-0.11,-0.08,,20750.887,7368045558.0,5938392509849.6,,
1950-12-31,-0.17,-0.07,,23193.336,7570712667.0,15859670599973.045,,
1951-12-31,-0.07,-0.07,,24765.194,7712654543.0,7992201168319.643,,
1952-12-31,0.01,-0.07,,25203.424,7852544506.0,8401431219340.445,,
1953-12-31,0.08,-0.07,,25929.893,7992061972.0,8884521325167.375,,
1954-12-31,-0.13,-0.06,,26744.552,8133216641.0,9099744118419.941,,
1955-12-31,-0.14,-0.05,,29264.525,8283968168.0,9694331533007.729,,61.46822
1956-12-31,-0.19,-0.05,,31190.093,8431612731.0,10097362140706.95,,62.4337
1957-12-31,0.05,-0.04,,32296.584,8583604349.0,10477138315471.186,,62.20108
1958-12-31,0.06,-0.01,,33117.274,8760050974.0,10716460067185.188,,60.5542
1959-12-31,0.03,0.01,,34633.663,8933657650.0,11276166555064.676,,61.39219
1960-12-31,-0.02,0.03,,36787.272,9100095060.0,25715521097504.15,,61.52728
1961-12-31,0.06,0.01,,37222.97,9270281335.0,12903204938855.158,,60.87849
